code_spygen;code_explo;rep;date;station;site;region;country;project;sample_type;sample_method;time_start;time_end;duration_min;volume;depth;temperature;turbidity;habitat;habitat_type;filter;data_manager;gps_owner;comment;longitude_start_clean;latitude_start_clean;dist_to_coast..m.;dist_to_CT
SPY181051;LENG031;2;07/11/2017;LENG031;pulau_aiduma;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:00;NA;NA;2;93;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.20171;-4.01173;10;-304.61
SPY181064;LENG032;1;07/11/2017;LENG032;pulau_aiduma;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:00;NA;NA;2;25;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.20171;-4.01173;10;-304.61
SPY180986;LENG032;2;07/11/2017;LENG032;pulau_aiduma;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:00;NA;NA;2;25;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.20171;-4.01173;10;-304.61
SPY181048;LENG033;1;08/11/2017;LENG033;tanjung_boi;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:45;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.48901;-4.03573;1413;-314.82
SPY181006;LENG033;2;08/11/2017;LENG033;tanjung_boi;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;10:45;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.48901;-4.03573;1413;-314.82
SPY180982;LENG034;1;08/11/2017;LENG034;tanjung_boi;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:30;NA;NA;2;80;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.48901;-4.03573;1413;-314.82
SPY181038;LENG034;2;08/11/2017;LENG034;tanjung_boi;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:30;NA;NA;2;80;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.48901;-4.03573;1413;-314.82
SPY180985;LENG035;1;08/11/2017;LENG035;tanjung_boi;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:30;NA;NA;2;33;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.48901;-4.03573;1413;-314.82
SPY181035;LENG035;2;08/11/2017;LENG035;tanjung_boi;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:30;NA;NA;2;33;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.48901;-4.03573;1413;-314.82
SPY181062;LENG037;1;09/11/2017;LENG037;pulau_aiduma_ext;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;14:50;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.28719;-4.03521;1036;-309.1
SPY181063;LENG037;2;09/11/2017;LENG037;pulau_aiduma_ext;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;14:50;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.28719;-4.03521;1036;-309.1
SPY181011;LENG038;1;09/11/2017;LENG038;pulau_aiduma_ext;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:30;NA;NA;2;70;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.28719;-4.03521;1036;-309.1
SPY181058;LENG038;2;09/11/2017;LENG038;pulau_aiduma_ext;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:30;NA;NA;2;70;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.28719;-4.03521;1036;-309.1
SPY181002;LENG039;1;09/11/2017;LENG039;pulau_aiduma_ext;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:30;NA;NA;2;31;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.28719;-4.03521;1036;-309.1
SPY181043;LENG039;2;09/11/2017;LENG039;pulau_aiduma_ext;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;15:30;NA;NA;2;31;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;134.28719;-4.03521;1036;-309.1
SPY181003;LENG045;1;14/11/2017;LENG045;kitikiti;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:50;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.80188;-3.93609;10;-306.62
SPY181045;LENG045;1;14/11/2017;LENG045;kitikiti;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:50;NA;NA;2;0;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.80188;-3.93609;10;-306.62
SPY180974;LENG046;2;14/11/2017;LENG046;kitikiti;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:30;NA;NA;2;70;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.80188;-3.93609;10;-306.62
SPY180187;LENG046;1;14/11/2017;LENG046;kitikiti;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;12:30;NA;NA;1.1;70;NA;NA;marine;NA;0.22;JB Juhel;NA;NA;132.80188;-3.93609;10;-306.62
SPY180976;LENG046;3;15/11/2017;LENG046;kitikiti;Central_Indo_Pacific;Indonesia;lengguru;point;bag_underwater;11:20;NA;NA;2;70;NA;NA;marine;NA;0.22;JB Juhel;NA;replicate LENG046 done the day after to complete the missing volume;132.80188;-3.93609;10;-306.62
