"species_name","class_name"
"Aphanius_iberus","Actinopteri"
"Aphanius_apodus","Actinopteri"
"Aphanius_mento","Actinopteri"
"Aphanius_sirhani","Actinopteri"
"Aphanius_richardsoni","Actinopteri"
"Aphanius_dispar","Actinopteri"
"Valencia_letourneuxi","Actinopteri"
"Valencia_hispanica","Actinopteri"
"Oxyzygonectes_dovii","Actinopteri"
"Anableps_anableps","Actinopteri"
"Jordanella_floridae","Actinopteri"
"Cyprinodon_variegatus","Actinopteri"
"Floridichthys_carpio","Actinopteri"
"Ictalurus_punctatus","Actinopteri"
"Aboma_etheostoma","Actinopteri"
"Akko_sp._GO178","Actinopteri"
"Aruma_histrio","Actinopteri"
"Barbulifer_ceuthoecus","Actinopteri"
"Bollmannia_boqueronensis","Actinopteri"
"Bollmannia_chlamydes","Actinopteri"
"Bollmannia_communis","Actinopteri"
"Bollmannia_marginalis","Actinopteri"
"Chriolepis_zebra","Actinopteri"
"Gobiosoma_aceras","Actinopteri"
"Gobiosoma_seminudum","Actinopteri"
"Evermannichthys_metzelaari","Actinopteri"
"Ginsburgellus_novemlineatus","Actinopteri"
"Gobiosoma_spilotum","Actinopteri"
"Elacatinus_chancei","Actinopteri"
"Elacatinus_evelynae","Actinopteri"
"Elacatinus_figaro","Actinopteri"
"Elacatinus_genie","Actinopteri"
"Elacatinus_horsti","Actinopteri"
"Elacatinus_louisae","Actinopteri"
"Elacatinus_oceanops","Actinopteri"
"Elacatinus_prochilos","Actinopteri"
"Elacatinus_puncticulatus","Actinopteri"
"Elacatinus_sp._GO205","Actinopteri"
"Elacatinus_xanthiprora","Actinopteri"
"Gobiosoma_chiquita","Actinopteri"
"Gobiosoma_hildebrandi","Actinopteri"
"Gobiosoma_homochroma","Actinopteri"
"Gobiosoma_nudum","Actinopteri"
"Gobiosoma_robustum","Actinopteri"
"Gobiosoma_paradoxum","Actinopteri"
"Gobiosoma_sp._GO194","Actinopteri"
"Gobiosoma_bosc","Actinopteri"
"Gobiosoma_ginsburgi","Actinopteri"
"Gobiosoma_sp._GO026","Actinopteri"
